Sitecore id;Url;Site section;Site subsection;Article type;Num disruptors;Num exhibits;Num videos;Num body links;Num sidebars;Num podcasts;Num interactives;Num related articles;Num most popular;Num words;Download only;Primary topic;Num topics;Num industries;Num locations;Num functional practices;Num industry practices;Num regions;Inlinks;Outlinks;Entries direct;Entries email;Entries search;Bounces direct;Bounces email;Bounces search;Page views
002c3851-d0c6-4642-9c5e-6fc2f181cfcf;http://www.mckinsey.com/business-functions/organization/our-insights/breaking-down-the-gender-challenge;business-functions;organization;Article;1;1;0;1;0;0;0;3;6;1710;FALSE;women & gender;1;0;0;0;0;0;31;130;1442;9392;440;1073;7106;320;13905
00307567-4679-4016-8b0f-549c28a7ea3d;http://www.mckinsey.com/global-themes/middle-east-and-africa/lions-on-the-move;global-themes;middle-east-and-africa;Report;0;0;0;0;0;1;0;5;6;486;FALSE;africa;3;0;1;0;0;1;29;127;269;20;550;196;11;322;1385
005561c2-aedd-45e5-ae0b-4d1ba8826d72;http://www.mckinsey.com/global-themes/asia-pacific/reimagining-india-a-conversation-with-yasheng-huang;global-themes;asia-pacific;Interview;0;0;1;0;0;0;0;0;0;762;FALSE;apac;4;0;0;0;0;1;;;6;0;44;5;0;34;75
005a307b-448a-4eeb-9660-6b992a96a15d;http://www.mckinsey.com/global-themes/employment-and-growth/economic-conditions-snapshot-september-2010-mckinsey-global-survey-results;global-themes;employment-and-growth;Survey;0;5;0;0;0;0;0;4;6;1327;FALSE;macroeconomics;1;0;0;0;0;0;28;126;1;;1;1;;0;2
0062ce29-0bcd-41d2-ae28-fee09e1196cd;http://www.mckinsey.com/business-functions/marketing-and-sales/our-insights/are-your-customers-becoming-digital-junkies;business-functions;marketing-and-sales;Article;0;1;0;0;0;0;1;5;6;959;FALSE;digital;3;4;0;0;0;0;33;128;7;0;53;5;0;42;115
006ebeb0-9a72-41ea-81b8-b3d79d4e4820;http://www.mckinsey.com/business-functions/strategy-and-corporate-finance/our-insights/navigating-the-new-normal-a-conversation-with-four-chief-strategy-officers;business-functions;strategy-and-corporate-finance;Interview;0;0;1;0;0;0;0;2;6;285;FALSE;corporate strategy;1;0;0;0;0;0;32;120;42;;25;22;;18;152
007dbdc6-8ab5-44bb-895f-0fb0a29318aa;http://www.mckinsey.com/business-functions/sustainability-and-resource-productivity/our-insights/swiss-greenhouse-gas-abatement-cost-curve;business-functions;sustainability-and-resource-productivity;Report;0;0;0;0;0;0;0;0;0;63;TRUE;sustainability & resources;0;0;0;1;0;0;;;1;;1;1;;0;12
008eb053-efbd-4bc8-9215-0045851c4ccc;http://www.mckinsey.com/global-themes/urbanization/urban-economic-clout-moves-east;global-themes;urbanization;Article;0;1;0;0;0;0;0;5;6;229;FALSE;urbanization;1;0;0;0;0;0;29;124;2;;4;2;;3;12
00934733-4d1d-44bf-9a6e-cdbb720a9bd5;http://www.mckinsey.com/business-functions/operations/our-insights/the-path-to-successful-new-products;business-functions;operations;Article;0;0;0;0;0;0;0;1;6;844;FALSE;operations;1;0;0;0;0;0;35;116;32;1;213;29;0;180;381
00bb0e55-6cf9-4ed7-9334-4d5e180c96b1;http://www.mckinsey.com/global-themes/leadership/leading-us-steel-in-challenging-times;global-themes;leadership;Interview;1;0;1;0;0;0;0;3;6;1462;FALSE;leadership;1;1;0;0;0;0;29;124;17;1;69;9;1;55;155
00d54d8c-3e15-4506-b818-9b00320d6683;http://www.mckinsey.com/business-functions/sustainability-and-resource-productivity/our-insights/the-us-stimulus-program-investing-in-energy-efficiency;business-functions;sustainability-and-resource-productivity;Article;0;1;0;3;0;0;0;0;0;1934;FALSE;oil & gas;0;1;0;0;0;0;24;109;2;1;25;2;1;23;36
00dbab18-8dfc-4c31-9293-9f00f467be20;http://www.mckinsey.com/industries/healthcare-systems-and-services/our-insights/when-and-how-provider-competition-can-improve-health-care-delivery;industries;healthcare-systems-and-services;Article;0;4;0;0;0;0;0;3;6;4324;FALSE;health care;1;2;0;0;0;0;;;203;2;1057;168;2;926;1389
00f46ea2-791b-469a-be1d-7dd4be1c4428;http://www.mckinsey.com/global-themes/asia-pacific/reimagining-india-a-conversation-with-christopher-graves;global-themes;asia-pacific;Interview;0;0;1;0;0;0;0;0;0;693;FALSE;apac;3;1;0;0;0;1;;;5;0;20;3;0;14;48
00f6faa2-2811-4242-9103-714e1f7be370;http://www.mckinsey.com/industries/media-and-entertainment/our-insights/the-state-of-global-media-spending;industries;media-and-entertainment;Article;1;1;0;1;0;0;0;5;6;603;FALSE;media & entertainment;0;1;0;0;0;0;27;128;261;6;268;188;2;199;1285
0120f013-a2da-485e-8e92-bff7969da107;http://www.mckinsey.com/industries/financial-services/our-insights/joining-the-family-business-an-emerging-opportunity-for-investors;industries;financial-services;Article;0;2;0;0;0;0;0;3;6;1715;FALSE;financial services;1;0;0;0;0;0;;;18;0;64;13;0;54;129
014505c5-43b6-45cb-bb79-42cba227b2f4;http://www.mckinsey.com/global-themes/leadership/embracing-technological-change-italian-style;global-themes;leadership;Interview;1;0;1;0;0;0;0;3;6;1512;FALSE;leadership;2;1;0;0;0;0;27;124;3102;352;135;2091;260;97;5367
0165143f-469e-492a-8341-712ef111207d;http://www.mckinsey.com/global-themes/employment-and-growth/staircases-to-growth;global-themes;employment-and-growth;Article;0;0;0;0;3;0;0;0;0;7417;FALSE;macroeconomics;1;0;0;0;0;0;;;342;7;410;230;3;337;979
01662cb5-13c7-4cf5-96c4-f51d34b6542e;http://www.mckinsey.com/industries/consumer-packaged-goods/our-insights/capturing-the-full-potential-of-design-to-value;industries;consumer-packaged-goods;Article;0;0;0;0;0;0;0;0;0;1757;FALSE;consumers;3;1;0;0;0;0;29;107;2;0;7;2;0;5;40
016bd1b3-a3dc-4de3-b8ab-b4bd8f3053f0;http://www.mckinsey.com/business-functions/risk/our-insights/managing-when-vendor-and-supplier-risk-becomes-your-own;business-functions;risk;Article;0;1;0;0;0;0;0;3;6;1641;FALSE;risk management;2;1;0;0;0;0;;;131;9;870;103;6;776;1106
01731325-8287-4e35-818b-d5b32a151e0a;http://www.mckinsey.com/industries/pharmaceuticals-and-medical-products/our-insights/maintaining-momentum-in-brazils-pharmaceutical-market;industries;pharmaceuticals-and-medical-products;Article;2;5;0;0;0;0;0;4;6;2463;FALSE;PMP;3;1;0;0;0;1;30;129;101;2;380;75;1;306;725
017d2693-5f39-4f88-b3fc-477d69588829;http://www.mckinsey.com/business-functions/sustainability-and-resource-productivity/our-insights/fred-krupp-on-the-benefits-of-monitoring-resource-use;business-functions;sustainability-and-resource-productivity;Commentary;0;0;1;0;0;0;0;0;0;695;FALSE;big data & analytics;2;2;0;0;0;0;25;110;5;;39;4;;30;64
017e4338-987d-444b-bbaf-80a6667ba015;http://www.mckinsey.com/business-functions/organization/our-insights/how-small-shifts-in-leadership-can-transform-your-team-dynamic;business-functions;organization;Article;1;0;4;1;0;0;0;3;6;2614;FALSE;organization;1;0;0;0;0;0;41;125;11436;7542;757;9014;5759;525;41124
01864cbe-e64b-4d11-8020-b4433e906153;http://www.mckinsey.com/business-functions/operations/our-insights/the-value-in-outsourcing-legacy-insurance-products;business-functions;operations;Article;0;0;0;0;1;0;0;3;6;1240;FALSE;financial services;3;0;0;0;0;0;26;121;15;1;160;10;1;142;207
0194c853-31f7-4723-8fd8-c3524eec4728;http://www.mckinsey.com/business-functions/strategy-and-corporate-finance/our-insights/opening-up-to-investors;business-functions;strategy-and-corporate-finance;Article;0;0;0;0;0;0;0;3;6;2387;FALSE;corporate finance;1;0;0;0;0;0;;;4;;70;2;;35;148
01cb3e84-4f07-4adb-807f-410941b07406;http://www.mckinsey.com/industries/financial-services/our-insights/small-commercial-insurance;industries;financial-services;Report;0;0;0;0;0;0;0;0;0;100;FALSE;financial services;0;0;0;0;0;0;22;102;191;34;152;98;13;62;2083
01da3999-e129-40a0-b84d-dfdef980c72d;http://www.mckinsey.com/global-themes/china/whats-holding-china-back;global-themes;china;Commentary;0;0;1;0;0;0;0;0;0;92;FALSE;apac;2;0;0;0;0;0;25;105;2;;2;2;;2;5
01f49cdf-4546-4584-9bbb-f32374ea9984;http://www.mckinsey.com/business-functions/strategy-and-corporate-finance/our-insights/are-you-ready-to-decide;business-functions;strategy-and-corporate-finance;Article;1;2;0;0;0;0;0;4;6;2053;FALSE;decision-making;4;0;0;0;0;0;32;139;459;58;167;341;30;116;1367
021db2e3-0737-461a-b604-7e1146e16c31;http://www.mckinsey.com/business-functions/strategy-and-corporate-finance/our-insights/how-companies-make-good-decisions-mckinsey-global-survey-results;business-functions;strategy-and-corporate-finance;Survey;0;5;0;0;0;0;0;1;6;1489;FALSE;corporate strategy;1;0;0;0;0;0;28;122;114;4;873;97;1;773;1187
029571fc-f16f-482b-aeb9-7259576c5488;http://www.mckinsey.com/business-functions/strategy-and-corporate-finance/our-insights/artificial-intelligence-meets-the-c-suite;business-functions;strategy-and-corporate-finance;Interview;0;0;2;0;1;0;0;4;6;3294;FALSE;big data & analytics;5;0;0;0;0;0;32;125;144;21;336;112;14;227;932
02c48285-5eab-4098-bb7b-d03a3c6201a4;http://www.mckinsey.com/business-functions/business-technology/our-insights/winning-the-battle-for-technology-talent;business-functions;business-technology;Article;0;2;0;0;0;0;0;2;6;1711;FALSE;talent;2;1;0;0;0;0;29;119;28;3;254;23;2;222;357
02e29352-d4f3-42a9-8012-c11188055158;http://www.mckinsey.com/industries/high-tech/our-insights/mckinsey-quarterly-2014-number-4-overview-and-full-issue;industries;high-tech;Article;0;0;0;1;0;0;0;0;0;590;FALSE;women & gender;4;0;0;0;0;3;23;111;2;0;2;2;0;0;115
02e2b4c3-7738-4020-bcf3-55d6d1f8925f;http://www.mckinsey.com/business-functions/operations/our-insights/manufacturing-growth-through-resource-productivity;business-functions;operations;Book Excerpt;2;0;0;0;0;0;0;5;6;1351;FALSE;manufacturing;5;1;0;0;0;0;30;130;28;1;66;21;0;51;220
03054cff-59eb-4078-930b-80b78fdba430;http://www.mckinsey.com/business-functions/strategy-and-corporate-finance/our-insights/the-truth-about-growth-and-value-stocks;business-functions;strategy-and-corporate-finance;Article;0;2;0;0;0;1;0;1;6;1440;FALSE;corporate finance;2;0;0;0;0;0;;;2;1;30;2;0;26;42
031bee2f-95a6-4397-87ea-eae3c6dc5cf8;http://www.mckinsey.com/global-themes/leadership/willis-group-on-the-changing-risk-landscape;global-themes;leadership;Interview;1;0;1;0;0;0;0;4;6;1312;FALSE;leadership;2;0;0;0;0;0;25;135;55;2;56;28;1;39;197
032656e8-3fbf-4970-a7a5-f432b8277bf9;http://www.mckinsey.com/industries/public-sector/our-insights/how-government-can-promote-open-data;industries;public-sector;Article;0;1;0;2;0;0;0;3;6;1298;FALSE;public sector;3;1;0;0;0;0;26;123;32;3;100;24;1;71;242
03280690-4cf7-4cb0-8b46-5fa9ec140503;http://www.mckinsey.com/global-themes/employment-and-growth/a-recipe-for-economic-growth;global-themes;employment-and-growth;Interview;0;0;1;0;0;0;0;4;6;820;FALSE;macroeconomics;2;3;0;0;0;0;30;123;23;0;76;20;0;48;210
